permno,predicted_eps,eps_actual,stock_exret,stock_ticker,comp_name,position_type,year,month,date
19502,-13.321880091459194,0.68,-0.018246241,WAG,WALGREEN CO,LONG,2010,1,2010-01-01
11308,-13.92706314654367,0.33,-0.048245613,KO,COCA-COLA CO,LONG,2010,1,2010-01-01
21371,-18.53627979397472,0.57,0.0257443544,CAH,CARDINAL HEALTH,LONG,2010,1,2010-01-01
22752,-20.668391881557216,0.79,0.0448823012,MRK,MERCK & CO,LONG,2010,1,2010-01-01
17830,-21.98077857501769,1.15,-0.027805794,UTX,UTD TECH,LONG,2010,1,2010-01-01
27828,-22.24731711242033,1.1,-0.086196832,HPQ,HEWLETT-PACKARD,LONG,2010,1,2010-01-01
21178,-22.710298014807343,2.17,-0.011015287,LMT,LOCKHEED MARTIN,LONG,2010,1,2010-01-01
13856,-24.95222872180293,0.9,-0.0194079,PEP,PEPSICO INC,LONG,2010,1,2010-01-01
26403,-26.413408150535567,0.47,-0.083720952,DIS,WALT DISNEY CO,LONG,2010,1,2010-01-01
77418,-27.70346803621629,0.55,-0.057995837,TWX,TIME WARNER INC,LONG,2010,1,2010-01-01
13928,-32.10128719355754,1.16,-0.060113564,COP,CONOCOPHILLIPS,SHORT,2010,1,2010-01-01
15579,-33.60676374256502,0.52,-0.132003054,TXN,TEXAS INSTRUMENT,SHORT,2010,1,2010-01-01
45751,-33.62072161703025,0.38,-0.014492774,MMC,MARSH & MCLENNAN,SHORT,2010,1,2010-01-01
49154,-33.72258930745443,1.24,0.0599545501,TGT,TARGET CORP,SHORT,2010,1,2010-01-01
71563,-34.09606164734436,0.27,0.1044540778,BBT,BB&T CP,SHORT,2010,1,2010-01-01
10104,-38.61156383159148,0.38,-0.057888348,ORCL,ORACLE CORP,SHORT,2010,1,2010-01-01
19393,-39.85942108066992,0.47,-0.035247501,BMY,BRISTOL-MYERS SQ,SHORT,2010,1,2010-01-01
50876,-41.57251575814714,0.91,-0.014281667,LLY,ELI LILLY,SHORT,2010,1,2010-01-01
77178,-44.71743331150659,0.62,-0.152831823,QCOM,QUALCOMM INC,SHORT,2010,1,2010-01-01
89006,-45.79287501194233,0.48,0.0176600274,KFT,"KRAFT FOODS, INC",SHORT,2010,1,2010-01-01
17750,-46.003281442447786,1.17,-0.06780725,KMB,KIMBERLY CLARK,SHORT,2010,1,2010-01-01
19561,-47.033047094245816,1.77,0.1195270121,BA,BOEING CO,SHORT,2010,1,2010-01-01
22293,-50.1004261293281,0.44,-0.063697547,GLW,CORNING INC.,SHORT,2010,1,2010-01-01
43449,-50.33269480590561,1.03,-0.000160127,MCD,MCDONALDS CP,SHORT,2010,1,2010-01-01
89525,-53.96640159385592,0.165,-0.055486396,CMCSA,COMCAST CORP,SHORT,2010,1,2010-01-01
22103,-55.83345629918203,0.56,-0.024882572,EMR,EMERSON ELECTRIC,SHORT,2010,1,2010-01-01
64936,-59.06269821856941,0.63,-0.037512824,D,DOMINION RES INC,SHORT,2010,1,2010-01-01
27959,-61.771040549394016,0.84,-0.039511822,DUK,DUKE ENERGY CORP,SHORT,2010,1,2010-01-01
21776,-61.94342760829086,0.92,-0.066502966,EXC,EXELON CORP,SHORT,2010,1,2010-01-01
57904,-66.18077862858024,0.59,0.0471351407,AFL,AFLAC INC,SHORT,2010,1,2010-01-01
59176,-66.34423376259863,0.59,-0.06614019,AXP,AMERN EXPRESS,SHORT,2010,1,2010-01-01
61399,-66.36588092031617,0.14,-0.070542961,LOW,LOWES CO,SHORT,2010,1,2010-01-01
23819,-66.91490557609276,0.28,-0.029245632,HAL,HALLIBURTON,SHORT,2010,1,2010-01-01
66093,-68.16843252620046,0.51,-0.08027114,T,AT&T INC,SHORT,2010,1,2010-01-01
10145,-69.01552927308764,0.91,-0.014285749,HON,HONEYWELL INTL,SHORT,2010,1,2010-01-01
18411,-69.0574128984577,0.31,-0.026485585,SO,SOUTHN CO,SHORT,2010,1,2010-01-01
10107,-70.37324216423549,0.74,-0.075459294,MSFT,MICROSOFT,SHORT,2010,1,2010-01-01
44644,-72.14386113747189,0.6,-0.047407724,ADP,AUTO DATA,SHORT,2010,1,2010-01-01
11850,-73.50442266327704,1.27,-0.055140078,XOM,EXXON MOBIL CORP,SHORT,2010,1,2010-01-01
49656,-75.94713866396239,0.55,0.0432606675,BK,THE BANK OF NEW,SHORT,2010,1,2010-01-01
90319,-77.34668310710498,0.1698,-0.145224065,GOOG,GOOGLE,SHORT,2010,1,2010-01-01
18542,-78.24942210790553,0.41,-0.075978242,CAT,CATERPILLAR INC,SHORT,2010,1,2010-01-01
87447,-79.26795016666856,0.75,0.006972312,UPS,UTD PARCEL SVC,SHORT,2010,1,2010-01-01
66157,-80.09083416110896,0.3,0.1141714677,USB,US BANCORP,SHORT,2010,1,2010-01-01
75186,-80.18173478915645,0.14,-0.028161466,SCHW,CHARLES SCHWAB,SHORT,2010,1,2010-01-01
12060,-82.06805251376731,2.24,0.0627891496,GE,GEN ELECTRIC US,SHORT,2010,1,2010-01-01
65875,-83.15470291185683,0.54,-0.097645663,VZ,VERIZON COMM,SHORT,2010,1,2010-01-01
69032,-87.27017252241538,0.29,-0.093581073,MS,MORGAN STANLEY,SHORT,2010,1,2010-01-01
52038,-87.73611006506269,0.45,0.0017895217,SYY,SYSCO CP,SHORT,2010,1,2010-01-01
76076,-88.80354210940162,0.4,-0.061403558,CSCO,CISCO SYS INC,SHORT,2010,1,2010-01-01
59408,-94.72807593546462,-0.6,0.0079681193,BAC,BANK OF AMERICA,SHORT,2010,1,2010-01-01
13901,-96.24454277190344,0.39,0.0117168343,MO,ALTRIA GROUP INC,SHORT,2010,1,2010-01-01
21936,-96.3838473620791,0.49,0.0258383341,PFE,PFIZER INC,SHORT,2010,1,2010-01-01
66181,-119.50199115240558,0.24,-0.0318009,HD,HOME DEPOT INC,SHORT,2010,1,2010-01-01
86868,-121.94222088529872,8.2,-0.119166046,GS,GOLDMAN SACHS,SHORT,2010,1,2010-01-01
14593,-125.74836653953604,0.1311,-0.088591158,AAPL,APPLE INC,SHORT,2010,1,2010-01-01
70519,-125.82657576052368,-3.3,0.0030211452,C,CITIGROUP INC.,SHORT,2010,1,2010-01-01
59328,-139.96789846771188,0.43,-0.049019609,INTC,INTEL CP,SHORT,2010,1,2010-01-01
38703,-149.28141639354283,0.08,0.0533531122,WFC,WELLS FARGO,SHORT,2010,1,2010-01-01
47896,-177.11304284455326,0.74,-0.06431485,JPM,JPMORGAN CHASE,SHORT,2010,1,2010-01-01
17778,222.8586979567727,1308.0,0.0453752168,BRK.A,BERKSHIRE HATHAW,LONG,2010,2,2010-02-01
66800,118.7390031853834,-53.23,0.0222864598,AIG,AMERN INTL GROUP,LONG,2010,2,2010-02-01
82775,100.58906672198444,0.14,0.0179241803,HIG,HARTFORD FIN SVC,LONG,2010,2,2010-02-01
34746,89.61715288557123,-0.09,-0.018488709,FITB,5TH 3RD BCP OH,LONG,2010,2,2010-02-01
89179,66.36593548670831,1.95,-0.029033305,WLP,WELLPOINT,LONG,2010,2,2010-02-01
87137,66.175832682847,1.85,0.0291435793,DVN,DEVON ENERGY COR,LONG,2010,2,2010-02-01
77605,65.00131938630558,0.1,-0.103128657,BSX,BOSTON SCIENTIFI,LONG,2010,2,2010-02-01
22111,61.31021734688332,1.29,0.0100222621,JNJ,JOHNSON & JOHNSN,LONG,2010,2,2010-02-01
22779,56.994887041709006,0.42,0.099187009,MOT,MOTOROLA INC,LONG,2010,2,2010-02-01
14541,55.17422432272815,2.36,0.0119245742,CVX,CHEVRON,LONG,2010,2,2010-02-01
14008,50.95091096286295,1.3,-0.031976726,AMGN,AMGEN,LONG,2010,2,2010-02-01
89258,44.08207517860779,1.46,0.0484096445,PRU,PRUDENTIAL FIN,LONG,2010,2,2010-02-01
34833,40.25626598086532,1.32,0.0192749836,OXY,OCCIDENTAL PETE,LONG,2010,2,2010-02-01
18163,39.907221810291375,0.83,0.0281072222,PG,PROCT & GAMBL,LONG,2010,2,2010-02-01
12052,38.56328682487206,1.54,0.0852655917,GD,GEN DYNAMICS,LONG,2010,2,2010-02-01
24643,36.55230816638236,0.3,0.0471328087,AA,ALCOA INC.,LONG,2010,2,2010-02-01
12490,28.58477242989799,1.97,0.0434676372,IBM,INTL BUS MACH,LONG,2010,2,2010-02-01
68144,23.637744447668,-0.46,-0.020961795,STI,SUNTRUST BKS GA,LONG,2010,2,2010-02-01
90505,22.511493524590364,0.07,0.0729031712,LVS,LAS VEGAS SANDS,LONG,2010,2,2010-02-01
77606,21.214347362873625,1.4,0.0684931651,KSS,KOHLS CORP,LONG,2010,2,2010-02-01
79323,18.094794824604136,0.69,0.044102896,ALL,ALLSTATE CP,LONG,2010,2,2010-02-01
60628,16.85904245125564,0.76,0.0818124264,FDX,FEDEX CORP,LONG,2010,2,2010-02-01
55976,14.392268260889663,0.88,0.0119782779,WMT,WAL-MART STRS,LONG,2010,2,2010-02-01
86356,12.15129506106205,0.42,0.0,EBAY,EBAY INC,LONG,2010,2,2010-02-01
87842,12.142370328725695,1.01,0.0302944425,MET,METLIFE INC,LONG,2010,2,2010-02-01
17005,11.423661903521882,0.6,0.042632103,CVS,CVS CAREMARK COR,LONG,2010,2,2010-02-01
22752,5.6321113999979,0.83,-0.03404922,MRK,MERCK & CO,LONG,2010,2,2010-02-01
90386,4.910802789593831,0.5,0.0921323374,MOS,MOSAIC CO/THE,LONG,2010,2,2010-02-01
19561,4.495945355163791,0.7,0.0491749421,BA,BOEING CO,LONG,2010,2,2010-02-01
48725,1.3627047861673418,0.505,0.1180165708,UNP,UNION PACIFIC CP,LONG,2010,2,2010-02-01
87055,1.2912916325949195,0.7,0.0647745207,COST,COSTCO WHOLESALE,LONG,2010,2,2010-02-01
59459,0.4431419983079721,1.22,0.0378922857,TRV,TRAVELERS COS IN,LONG,2010,2,2010-02-01
27887,-1.0897819457556537,0.93,-0.01146032,BAX,BAXTER INTL,LONG,2010,2,2010-02-01
22592,-3.622510313020449,1.4,0.0022984673,MMM,3M CO,LONG,2010,2,2010-02-01
82800,-5.087435903598344,0.4452,0.1186632216,SCCO,SOUTHERN COPPER,LONG,2010,2,2010-02-01
14702,-6.570224607300412,0.22,0.0098521728,AMAT,APPLD MATERIALS,LONG,2010,2,2010-02-01
92655,-8.433196780279435,1.03,0.026060624,UNH,UNITEDHEALTH GRP,LONG,2010,2,2010-02-01
20482,-8.675743632746457,0.81,0.0253116768,ABT,ABBOTT LABS,LONG,2010,2,2010-02-01
76226,-9.605407233986496,0.05,0.0046403296,CBS,CBS CORP,LONG,2010,2,2010-02-01
21371,-11.322294907385672,0.61,0.0272150449,CAH,CARDINAL HEALTH,LONG,2010,2,2010-02-01
19502,-11.68508404804834,0.68,-0.018654579,WAG,WALGREEN CO,LONG,2010,2,2010-02-01
18729,-12.154513647114122,0.605,0.0363614112,CL,COLGATE PALMOLVE,LONG,2010,2,2010-02-01
11308,-12.418654371206896,0.4,-0.028202742,KO,COCA-COLA CO,LONG,2010,2,2010-02-01
13856,-21.56374729133119,0.76,0.047802791,PEP,PEPSICO INC,LONG,2010,2,2010-02-01
13928,-23.5982672264554,1.47,0.010416667,COP,CONOCOPHILLIPS,LONG,2010,2,2010-02-01
27828,-30.606316926663222,1.09,0.0790312588,HPQ,HEWLETT-PACKARD,LONG,2010,2,2010-02-01
77418,-30.73327690859186,0.61,0.0656648502,TWX,TIME WARNER INC,LONG,2010,2,2010-02-01
71563,-31.37292682636138,0.27,0.0236813724,BBT,BB&T CP,LONG,2010,2,2010-02-01
17830,-31.969617195870278,0.93,0.0236366056,UTX,UTD TECH,LONG,2010,2,2010-02-01
49154,-32.67793179260707,1.24,0.0081919255,TGT,TARGET CORP,LONG,2010,2,2010-02-01
26403,-33.3823607146795,0.48,0.0571912192,DIS,WALT DISNEY CO,SHORT,2010,2,2010-02-01
25785,-36.28732932736679,0.46,0.0830257908,F,FORD MOTOR CO,SHORT,2010,2,2010-02-01
21178,-38.91137349206569,1.42,0.0519324429,LMT,LOCKHEED MARTIN,SHORT,2010,2,2010-02-01
56573,-41.2180640297683,0.63,0.0442762151,ITW,ILL TOOL WORKS,SHORT,2010,2,2010-02-01
50876,-41.92772595826659,1.18,-0.010511381,LLY,ELI LILLY,SHORT,2010,2,2010-02-01
45751,-45.22036115737448,0.51,0.0769944265,MMC,MARSH & MCLENNAN,SHORT,2010,2,2010-02-01
77178,-45.55458362182129,0.59,-0.059635092,QCOM,QUALCOMM INC,SHORT,2010,2,2010-02-01
15579,-46.660805948084274,0.52,0.0835555196,TXN,TEXAS INSTRUMENT,SHORT,2010,2,2010-02-01
22293,-46.81988815145263,0.52,-0.022123937,GLW,CORNING INC.,SHORT,2010,2,2010-02-01
89525,-48.01065100009171,0.155,0.0385344662,CMCSA,COMCAST CORP,SHORT,2010,2,2010-02-01
10104,-48.04216797757924,0.38,0.0689505711,ORCL,ORACLE CORP,SHORT,2010,2,2010-02-01
89006,-54.23468203437695,0.49,0.0278380495,KFT,"KRAFT FOODS, INC",SHORT,2010,2,2010-02-01
17750,-55.108160724740586,1.14,0.0227311384,KMB,KIMBERLY CLARK,SHORT,2010,2,2010-02-01
49656,-55.926349743697536,0.59,-0.019594351,BK,THE BANK OF NEW,SHORT,2010,2,2010-02-01
27959,-56.06696892528961,1.08,0.0036297452,DUK,DUKE ENERGY CORP,SHORT,2010,2,2010-02-01
44644,-58.006456076833416,0.79,0.0201029591,ADP,AUTO DATA,SHORT,2010,2,2010-02-01
22103,-59.07305707426464,0.54,0.1476889551,EMR,EMERSON ELECTRIC,SHORT,2010,2,2010-02-01
64936,-60.64901501356079,0.96,0.0263615232,D,DOMINION RES INC,SHORT,2010,2,2010-02-01
21776,-62.53547867461407,1.0,-0.039346773,EXC,EXELON CORP,SHORT,2010,2,2010-02-01
43449,-62.58390711657034,1.03,0.0315553136,MCD,MCDONALDS CP,SHORT,2010,2,2010-02-01
11850,-63.10915516311095,1.33,0.0153655084,XOM,EXXON MOBIL CORP,SHORT,2010,2,2010-02-01
57904,-64.02650978137478,0.705,0.0268428754,AFL,AFLAC INC,SHORT,2010,2,2010-02-01
19393,-64.20937282870821,0.56,0.0061576199,BMY,BRISTOL-MYERS SQ,SHORT,2010,2,2010-02-01
75186,-69.7038867544137,0.1,0.0043738955,SCHW,CHARLES SCHWAB,SHORT,2010,2,2010-02-01
14593,-71.24982125348146,0.1189,0.0653795451,AAPL,APPLE INC,SHORT,2010,2,2010-02-01
18411,-71.36431321125134,0.6,-0.007187486,SO,SOUTHN CO,SHORT,2010,2,2010-02-01
61399,-74.26245956481117,0.14,0.0951500908,LOW,LOWES CO,SHORT,2010,2,2010-02-01
23819,-75.63088537425688,0.28,0.0352619179,HAL,HALLIBURTON,SHORT,2010,2,2010-02-01
18542,-76.9171758034857,0.36,0.0920749903,CAT,CATERPILLAR INC,SHORT,2010,2,2010-02-01
10145,-78.31769907752516,0.5,0.0471661612,HON,HONEYWELL INTL,SHORT,2010,2,2010-02-01
52038,-78.51321583344988,0.42,0.0325116068,SYY,SYSCO CP,SHORT,2010,2,2010-02-01
69032,-78.68529440678583,1.03,0.0522778034,MS,MORGAN STANLEY,SHORT,2010,2,2010-02-01
66157,-82.59002524535907,0.34,-0.018740004,USB,US BANCORP,SHORT,2010,2,2010-02-01
59176,-84.19193076277031,0.73,0.0140732545,AXP,AMERN EXPRESS,SHORT,2010,2,2010-02-01
87447,-84.50156078122137,0.71,0.0249264538,UPS,UTD PARCEL SVC,SHORT,2010,2,2010-02-01
66093,-85.12039149461161,0.59,-0.021687742,T,AT&T INC,SHORT,2010,2,2010-02-01
13901,-92.0349842643852,0.42,0.0130916527,MO,ALTRIA GROUP INC,SHORT,2010,2,2010-02-01
12060,-92.50694592714432,1.68,0.0049750959,GE,GEN ELECTRIC US,SHORT,2010,2,2010-02-01
21936,-95.7952395535876,0.6,-0.049839262,PFE,PFIZER INC,SHORT,2010,2,2010-02-01
76076,-99.515864460823,0.42,0.082777068,CSCO,CISCO SYS INC,SHORT,2010,2,2010-02-01
10107,-99.96857106380055,0.45,0.0220014118,MSFT,MICROSOFT,SHORT,2010,2,2010-02-01
38703,-102.89545939248036,0.45,-0.03658108,WFC,WELLS FARGO,SHORT,2010,2,2010-02-01
65875,-106.1186115678204,0.56,-0.016655328,VZ,VERIZON COMM,SHORT,2010,2,2010-02-01
90319,-107.31431064996085,0.169,-0.005932669,GOOG,GOOGLE,SHORT,2010,2,2010-02-01
70519,-114.25960811497532,1.5,0.0240964349,C,CITIGROUP INC.,SHORT,2010,2,2010-02-01
86868,-115.84328352774445,5.59,0.0536579117,GS,GOLDMAN SACHS,SHORT,2010,2,2010-02-01
59408,-116.90963798193415,0.28,0.0974966735,BAC,BANK OF AMERICA,SHORT,2010,2,2010-02-01
66181,-126.96924725359573,0.24,0.1138879135,HD,HOME DEPOT INC,SHORT,2010,2,2010-02-01
47896,-151.1341485702643,0.74,0.0778120905,JPM,JPMORGAN CHASE,SHORT,2010,2,2010-02-01
59328,-172.05174022754636,0.43,0.0663660392,INTC,INTEL CP,SHORT,2010,2,2010-02-01
17778,200.37998612488195,1390.0,0.0165944917,BRK.A,BERKSHIRE HATHAW,LONG,2010,3,2010-03-01
66800,172.60343586533065,1.75,0.378180133,AIG,AMERN INTL GROUP,LONG,2010,3,2010-03-01
82775,120.68458898424532,0.14,0.1660878973,HIG,HARTFORD FIN SVC,LONG,2010,3,2010-03-01
34746,87.4388271865663,-0.09,0.1112841459,FITB,5TH 3RD BCP OH,LONG,2010,3,2010-03-01
89179,70.41409797562153,1.95,0.0404689068,WLP,WELLPOINT,LONG,2010,3,2010-03-01
87137,65.42773435053034,1.85,-0.062109878,DVN,DEVON ENERGY COR,LONG,2010,3,2010-03-01
22779,60.12169093736696,0.42,0.0383614989,MOT,MOTOROLA INC,LONG,2010,3,2010-03-01
77605,58.27337424140737,0.1,-0.067283465,BSX,BOSTON SCIENTIFI,LONG,2010,3,2010-03-01
22111,53.67417409022953,1.29,0.0348205881,JNJ,JOHNSON & JOHNSN,LONG,2010,3,2010-03-01
14541,47.470062220387874,2.36,0.0487243252,CVX,CHEVRON,LONG,2010,3,2010-03-01
14008,46.66068904865947,1.3,0.0569129119,AMGN,AMGEN,LONG,2010,3,2010-03-01
89258,44.6020250010325,1.46,0.1542598622,PRU,PRUDENTIAL FIN,LONG,2010,3,2010-03-01
24643,43.51918491808533,0.3,0.070576662,AA,ALCOA INC.,LONG,2010,3,2010-03-01
34833,39.934478156996114,1.32,0.0627679097,OXY,OCCIDENTAL PETE,LONG,2010,3,2010-03-01
60628,39.22937751687935,1.33,0.1031326445,FDX,FEDEX CORP,LONG,2010,3,2010-03-01
18163,35.15324538942673,0.83,-0.000258001,PG,PROCT & GAMBL,LONG,2010,3,2010-03-01
12052,35.085507989489,1.54,0.0639936419,GD,GEN DYNAMICS,LONG,2010,3,2010-03-01
12490,31.44367604571373,1.97,0.0084718492,IBM,INTL BUS MACH,LONG,2010,3,2010-03-01
90505,30.76729706079962,0.07,0.2716979848,LVS,LAS VEGAS SANDS,LONG,2010,3,2010-03-01
79323,25.276199604578125,0.69,0.0402200425,ALL,ALLSTATE CP,LONG,2010,3,2010-03-01
68144,25.22516051301207,-0.46,0.1250575649,STI,SUNTRUST BKS GA,LONG,2010,3,2010-03-01
86356,17.937260236642906,0.42,0.1713813262,EBAY,EBAY INC,LONG,2010,3,2010-03-01
55976,14.410010040628316,0.88,0.0337912308,WMT,WAL-MART STRS,LONG,2010,3,2010-03-01
90386,9.183552349000564,0.5,0.040660424,MOS,MOSAIC CO/THE,LONG,2010,3,2010-03-01
87842,9.11207931373622,1.01,0.1908865588,MET,METLIFE INC,LONG,2010,3,2010-03-01
17005,8.720969949123294,0.6,0.0831592994,CVS,CVS CAREMARK COR,LONG,2010,3,2010-03-01
48725,8.403275493557764,0.505,0.0879213752,UNP,UNION PACIFIC CP,LONG,2010,3,2010-03-01
19561,5.265961829653577,0.7,0.1495200264,BA,BOEING CO,LONG,2010,3,2010-03-01
14702,2.4779450330337127,0.22,0.1001859473,AMAT,APPLD MATERIALS,LONG,2010,3,2010-03-01
59459,0.5472246486161936,1.22,0.0318452062,TRV,TRAVELERS COS IN,LONG,2010,3,2010-03-01
77606,-1.8270386349096464,0.64,0.0177372189,KSS,KOHLS CORP,LONG,2010,3,2010-03-01
18729,-5.787103553578181,0.605,0.0278720239,CL,COLGATE PALMOLVE,LONG,2010,3,2010-03-01
27887,-5.976148307888803,0.93,0.0273020806,BAX,BAXTER INTL,LONG,2010,3,2010-03-01
22592,-6.620400507153272,1.4,0.0425699705,MMM,3M CO,LONG,2010,3,2010-03-01
87055,-6.737624497161438,0.66,-0.020765936,COST,COSTCO WHOLESALE,LONG,2010,3,2010-03-01
22752,-7.96290538001541,0.83,0.0229476521,MRK,MERCK & CO,LONG,2010,3,2010-03-01
92655,-8.385452560267598,1.03,-0.035244784,UNH,UNITEDHEALTH GRP,LONG,2010,3,2010-03-01
21371,-10.656197812732897,0.61,0.0656932758,CAH,CARDINAL HEALTH,LONG,2010,3,2010-03-01
20482,-12.459662424387156,0.81,-0.02957676,ABT,ABBOTT LABS,LONG,2010,3,2010-03-01
82800,-20.55933920968672,0.4452,0.0785784515,SCCO,SOUTHERN COPPER,LONG,2010,3,2010-03-01
19502,-21.832142943256528,0.68,0.052397115,WAG,WALGREEN CO,LONG,2010,3,2010-03-01
11308,-22.574909660159804,0.4,0.0514933,KO,COCA-COLA CO,LONG,2010,3,2010-03-01
76226,-25.63427836512979,0.05,0.0768822821,CBS,CBS CORP,LONG,2010,3,2010-03-01
13856,-27.43791138276587,0.76,0.066171849,PEP,PEPSICO INC,LONG,2010,3,2010-03-01
13928,-28.83196990568503,1.47,0.065941626,COP,CONOCOPHILLIPS,LONG,2010,3,2010-03-01
27828,-29.26018607442468,1.09,0.0479409637,HPQ,HEWLETT-PACKARD,LONG,2010,3,2010-03-01
77418,-32.35412588355089,0.61,0.0766906159,TWX,TIME WARNER INC,LONG,2010,3,2010-03-01
21178,-35.6679201423483,1.42,0.0701160373,LMT,LOCKHEED MARTIN,LONG,2010,3,2010-03-01
45751,-36.423935342357055,0.51,0.0515796224,MMC,MARSH & MCLENNAN,LONG,2010,3,2010-03-01
26403,-38.5641694717395,0.48,0.1173775958,DIS,WALT DISNEY CO,LONG,2010,3,2010-03-01
56573,-41.24972900997241,0.63,0.0471319871,ITW,ILL TOOL WORKS,SHORT,2010,3,2010-03-01
71563,-41.85416324048957,0.27,0.1351961361,BBT,BB&T CP,SHORT,2010,3,2010-03-01
17830,-41.929178868254525,0.93,0.0721505301,UTX,UTD TECH,SHORT,2010,3,2010-03-01
50876,-45.166928791852726,1.18,0.0546466837,LLY,ELI LILLY,SHORT,2010,3,2010-03-01
49656,-47.43980480454753,0.59,0.0826489048,BK,THE BANK OF NEW,SHORT,2010,3,2010-03-01
15579,-47.49236954226159,0.52,0.0035915569,TXN,TEXAS INSTRUMENT,SHORT,2010,3,2010-03-01
89525,-48.61835898489906,0.155,0.1452770846,CMCSA,COMCAST CORP,SHORT,2010,3,2010-03-01
49154,-48.73853921474881,0.9,0.0208626947,TGT,TARGET CORP,SHORT,2010,3,2010-03-01
22293,-48.83809147700402,0.52,0.1462414729,GLW,CORNING INC.,SHORT,2010,3,2010-03-01
17750,-50.08045824924974,1.14,0.0459981131,KMB,KIMBERLY CLARK,SHORT,2010,3,2010-03-01
